,mid,name,sex,level,sign,official,birthday,roomid,fans,guards,status,archiveView,liveCount,maxPopularity,participant,danmaku,income,goldUser,danmutop20
10874,1555563701,狼谷苓Rin,0,2,暂停活动，勿扰,0,4月2日,25207401,1,0,0,939,0,0,0,0,0,0,{}
10875,24278071,小山雀啾啾啾,2,6,直播专用号 约稿&联络请私信@啾咪社 祝你每天好心情~,0,,22509668,205,1,0,551,0,0,0,0,0,0,{}
10876,1821601441,姬芽Tiya,2,3, 极光社所属  杂谈势Vup??  有人骂你野心勃勃  有人爱你灵魂有火  751165346（敲门砖：芽芽）,0,,24805536,21661,56,0,231135,72,1406457,5939,63568,88149900,1258,"{'老板': 1752, '礼物': 1749, '红包': 1718, '点点': 1702, '大气': 1640, '芽芽': 1492, '聪明': 1231, '哈哈哈': 1092, '姐姐': 970, '思渡': 910, '不是': 866, '什么': 804, '可以': 761, '下午': 687, '就是': 657, '点歌': 637, '一个': 617, '吃瓜': 596, '怎么': 582, '问荆': 579}"
10877,1909401419,立花遥はるか-channel,2,3,咔嚓咔嚓~夹爆你头！,0,1月1日,25178568,1462,0,0,35788,0,0,0,0,0,0,{}
10878,320651115,古見月_Kulumi,2,5,已死,0,,11832345,3322,3,0,76406,0,0,0,0,0,0,{}
10879,1744589683,熙菈寺奈,0,3,可御姐，可萝莉，播音系温柔姐姐,0,8月9日,23754460,3303,0,0,34410,0,0,0,0,0,0,{}
10880,498263161,私欲姐姐-,2,4,猫耳搜索走散,0,6月16日,22442424,33785,57,1,310098,0,0,0,0,0,0,{}
10881,59011,弯弯小刀,2,5,,0,,851144,70,1,1,7646,0,0,0,0,0,0,{}
10882,549727022,崽崽是只龙,2,3,异世界龙族在逃公主 ,0,11月16日,25112336,9482,1,0,61587,0,0,0,0,0,0,{}
10883,1417899955,希一_KiIChi,2,3,本狼是个人势v！不、不要…一直看我的…尾巴！,0,,24878584,155,0,0,293,0,0,0,0,0,0,{}
10884,824640,LiAe_阿特栗尔,0,6,不务正业的服装设计师，臭打游戏的，关注我养成vup！lof: LiAe twi:Liae Art,0,9月11日,722287,254,0,0,56263,0,0,0,0,0,0,{}
10885,1295823423,铃兰LR,2,4,直播通知群：831071676,0,,22688524,2576,6,1,21582,0,0,0,0,0,0,{}
10886,1482911817,卡特斯Cactus,2,4,每天20:30左右，周末随机。个史势，班主任，脑血栓噪音艺术家，语言系统混沌王,0,1月13日,25153929,5986,4,0,167252,0,0,0,0,0,0,{}
10887,1566670409,守屋魔礼亞Moriya,2,3,moriya是一朵魔法白云，你可以叫吾魔王大人Σ(??д??lll)不是棉花糖不可以咬！！！！！！！！！！！！！！,0,4月18日,25155141,2674,4,0,15958,0,0,0,0,0,0,{}
10888,14505933,星野百万,2,6,幻想生物,0,6月27日,1343924,1396,4,0,159688,0,0,0,0,0,0,{}
10889,1254089576,球球拜托睡个好觉,2,3,好好吃饭 好好睡觉 天天开心,0,1月1日,25214997,282,0,0,211,0,0,0,0,0,0,{}
