mid,video_num
2091254050,0
1868519688,0
1827176970,0
1768094747,0
1758083950,0
1749672325,0
1733970192,0
1552488849,0
1423811116,0
1357287708,0
1226750038,0
1202562007,0
1186805690,0
1153283989,0
1115540220,0
1072466146,0
1021344512,0
651402196,0
628424262,0
622383747,0
603372954,0
519664663,0
516481950,0
495899901,0
495707763,0
492449182,0
481271274,0
444820511,0
439546360,0
436809386,0
431272599,0
430774867,0
427469551,0
415439089,0
409854651,0
394496793,0
383144746,0
369349661,0
356333940,0
342193167,0
325907302,0
259279517,0
153373112,0
104602477,0
96230774,0
77575804,0
62879006,0
51760697,0
50731137,0
50729578,0
45336140,0
43187576,0
36403332,0
31342415,0
28094172,0
27217748,0
26945150,0
24295259,0
20646249,0
18275424,0
17806540,0
16223898,0
9224445,0
8750978,0
5683525,0
4689550,0
4365283,0
4210335,0
2445421,0
1483670,0
559863,0
513913,0
373263,0
80656,0
37328,0
1927633577,1
1731746796,1
1312934431,1
674955196,1
667290196,1
612865344,1
612700521,1
484193653,1
441377278,1
393595532,1
378963786,1
361916885,1
352043345,1
349594581,1
283509107,1
272983835,1
158146362,1
124553204,1
111277714,1
52685828,1
26398020,1
14983733,1
13496620,1
13043029,1
9561918,1
8384331,1
8363141,1
7805371,1
7618327,1
5144535,1
4907624,1
4856757,1
4568261,1
4163644,1
3933515,1
3921433,1
3358737,1
1484320,1
1319467,1
681892,1
451793,1
189745,1
693,1
2115613286,2
2005932785,2
1914655751,2
1567721686,2
1373752236,2
1326080431,2
1284818028,2
1239402550,2
1157885046,2
638467578,2
588631324,2
498531795,2
473214533,2
408734939,2
395840287,2
259210907,2
128976078,2
100910905,2
65717712,2
43651295,2
35028769,2
29919485,2
29530957,2
24339322,2
22717000,2
20600085,2
19721846,2
12164435,2
11300631,2
5696525,2
5603756,2
4290020,2
3142221,2
1791514,2
1758397,2
1482424,2
916984,2
672507,2
400605,2
386908,2
2099399911,3
2045507518,3
1786445174,3
1757495735,3
1533049018,3
1337993096,3
1330354774,3
1253390522,3
1011812576,3
640418942,3
601557682,3
521537808,3
500451641,3
381257126,3
357672624,3
221039280,3
107433129,3
104345729,3
88163149,3
77817759,3
63038006,3
59403044,3
44128967,3
36648204,3
34528147,3
34199397,3
34099792,3
22156788,3
13896589,3
11567043,3
8232502,3
6409644,3
6268594,3
5914640,3
3592916,3
3340395,3
2522465,3
1800010,3
834903,3
795926,3
524816,3
406987,3
301026,3
229697,3
49474,3
7595,3
2032993361,4
1968342232,4
1536735500,4
1501875279,4
1492229330,4
1363865784,4
1357409459,4
1354106821,4
1342629484,4
1329861887,4
1199634708,4
669275668,4
634883736,4
592507317,4
524787140,4
522045311,4
516468065,4
498535110,4
491845087,4
483771934,4
454218588,4
444015421,4
418158697,4
399923919,4
395865658,4
377711190,4
348803902,4
304002706,4
290708108,4
265615931,4
243702102,4
168130052,4
163745074,4
38306163,4
34237849,4
25395147,4
24990697,4
22296560,4
14003142,4
13670449,4
6734445,4
927813,4
727109,4
543748,4
509372,4
212553,4
205059,4
124177,4
2132180406,5
2107426014,5
2035244864,5
1978455467,5
1934440235,5
1895255207,5
1683039418,5
1676372882,5
1536225244,5
1343252680,5
1010093017,5
686665614,5
629113175,5
620049604,5
549288373,5
486989682,5
478502198,5
470576672,5
284453783,5
109381959,5
102819798,5
84066005,5
75094637,5
52859361,5
24106619,5
21151384,5
19488841,5
19189768,5
9881774,5
9825449,5
7677170,5
6789240,5
6759757,5
6188267,5
5868110,5
4929299,5
3785899,5
3393365,5
2766325,5
2192963,5
1548911,5
2112973233,6
2110481733,6
1957582635,6
1885522479,6
1840042245,6
1838048702,6
1716461200,6
1666306454,6
1661638690,6
1652030487,6
1501145142,6
1439135088,6
1436519963,6
1357988245,6
1051654586,6
1026919409,6
609100583,6
432765966,6
340345723,6
310728619,6
267439469,6
195742895,6
156986660,6
